Age,Asset,Asset_plus_wage,Savings,Consumption
1,0.0,0.5,0.0,0.5
2,0.0,0.5,0.0,0.5
3,0.0,0.75,0.023411371237458192,0.7265886287625418
4,0.023411371237458192,0.7734113712374582,0.05016722408026756,0.7232441471571907
5,0.05016722408026756,1.0501672240802675,0.35785953177257523,0.6923076923076923
6,0.35785953177257523,1.3578595317725752,0.6989966555183946,0.6588628762541806
7,0.6989966555183946,1.4489966555183946,0.7993311036789298,0.6496655518394648
8,0.7993311036789298,1.54933110367893,0.9096989966555183,0.6396321070234116
9,0.9096989966555183,1.1596989966555182,0.4782608695652174,0.6814381270903008
10,0.4782608695652174,0.7282608695652174,0.0,0.7282608695652174
